,,group,ids,moe,percent
b04006_reported_ancestry_acs_m,hungar_me,B04006,46,TRUE,FALSE
b04006_reported_ancestry_acs_m,icelnd,B04006,47,FALSE,FALSE
b04006_reported_ancestry_acs_m,icelnd_me,B04006,47,TRUE,FALSE
b04006_reported_ancestry_acs_m,iran,B04006,48,FALSE,FALSE
b04006_reported_ancestry_acs_m,iran_me,B04006,48,TRUE,FALSE
b04006_reported_ancestry_acs_m,irish,B04006,49,FALSE,FALSE
b04006_reported_ancestry_acs_m,irish_me,B04006,49,TRUE,FALSE
b04006_reported_ancestry_acs_m,israel,B04006,50,FALSE,FALSE
b04006_reported_ancestry_acs_m,israel_me,B04006,50,TRUE,FALSE
b04006_reported_ancestry_acs_m,italia,B04006,51,FALSE,FALSE
b04006_reported_ancestry_acs_m,italia_me,B04006,51,TRUE,FALSE
b04006_reported_ancestry_acs_m,latv,B04006,52,FALSE,FALSE
b04006_reported_ancestry_acs_m,latv_me,B04006,52,TRUE,FALSE
b04006_reported_ancestry_acs_m,lthuan,B04006,53,FALSE,FALSE
b04006_reported_ancestry_acs_m,lthuan_me,B04006,53,TRUE,FALSE
b04006_reported_ancestry_acs_m,lxmbrg,B04006,54,FALSE,FALSE
b04006_reported_ancestry_acs_m,lxmbrg_me,B04006,54,TRUE,FALSE
b04006_reported_ancestry_acs_m,maced,B04006,55,FALSE,FALSE
b04006_reported_ancestry_acs_m,maced_me,B04006,55,TRUE,FALSE
b04006_reported_ancestry_acs_m,malt,B04006,56,FALSE,FALSE
b04006_reported_ancestry_acs_m,malt_me,B04006,56,TRUE,FALSE
b04006_reported_ancestry_acs_m,n_zlnd,B04006,57,FALSE,FALSE
b04006_reported_ancestry_acs_m,n_zlnd_me,B04006,57,TRUE,FALSE
b04006_reported_ancestry_acs_m,n_eurp,B04006,58,FALSE,FALSE
b04006_reported_ancestry_acs_m,n_eurp_me,B04006,58,TRUE,FALSE
b04006_reported_ancestry_acs_m,norwgn,B04006,59,FALSE,FALSE
b04006_reported_ancestry_acs_m,norwgn_me,B04006,59,TRUE,FALSE
b04006_reported_ancestry_acs_m,pengrm,B04006,60,FALSE,FALSE
b04006_reported_ancestry_acs_m,pengrm_me,B04006,60,TRUE,FALSE
b04006_reported_ancestry_acs_m,polish,B04006,61,FALSE,FALSE
b04006_reported_ancestry_acs_m,polish_me,B04006,61,TRUE,FALSE
b04006_reported_ancestry_acs_m,portug,B04006,62,FALSE,FALSE
b04006_reported_ancestry_acs_m,portug_me,B04006,62,TRUE,FALSE
b04006_reported_ancestry_acs_m,roman,B04006,63,FALSE,FALSE
b04006_reported_ancestry_acs_m,roman_me,B04006,63,TRUE,FALSE
b04006_reported_ancestry_acs_m,russia,B04006,64,FALSE,FALSE
b04006_reported_ancestry_acs_m,russia_me,B04006,64,TRUE,FALSE
b04006_reported_ancestry_acs_m,scand,B04006,65,FALSE,FALSE
b04006_reported_ancestry_acs_m,scand_me,B04006,65,TRUE,FALSE
b04006_reported_ancestry_acs_m,sct_ir,B04006,66,FALSE,FALSE
b04006_reported_ancestry_acs_m,sct_ir_me,B04006,66,TRUE,FALSE
b04006_reported_ancestry_acs_m,scott,B04006,67,FALSE,FALSE
b04006_reported_ancestry_acs_m,scott_me,B04006,67,TRUE,FALSE
b04006_reported_ancestry_acs_m,serbia,B04006,68,FALSE,FALSE
b04006_reported_ancestry_acs_m,serbia_me,B04006,68,TRUE,FALSE
b04006_reported_ancestry_acs_m,slavic,B04006,69,FALSE,FALSE
b04006_reported_ancestry_acs_m,slavic_me,B04006,69,TRUE,FALSE
b04006_reported_ancestry_acs_m,slovak,B04006,70,FALSE,FALSE
b04006_reported_ancestry_acs_m,slovak_me,B04006,70,TRUE,FALSE
b04006_reported_ancestry_acs_m,sloven,B04006,71,FALSE,FALSE
b04006_reported_ancestry_acs_m,sloven_me,B04006,71,TRUE,FALSE
b04006_reported_ancestry_acs_m,svt_un,B04006,72,FALSE,FALSE
b04006_reported_ancestry_acs_m,svt_un_me,B04006,72,TRUE,FALSE
b04006_reported_ancestry_acs_m,subshr,B04006,73,FALSE,FALSE
b04006_reported_ancestry_acs_m,subshr_me,B04006,73,TRUE,FALSE
b04006_reported_ancestry_acs_m,c_vrd,B04006,74,FALSE,FALSE
b04006_reported_ancestry_acs_m,c_vrd_me,B04006,74,TRUE,FALSE
b04006_reported_ancestry_acs_m,ethiop,B04006,75,FALSE,FALSE
b04006_reported_ancestry_acs_m,ethiop_me,B04006,75,TRUE,FALSE
b04006_reported_ancestry_acs_m,ghana,B04006,76,FALSE,FALSE
b04006_reported_ancestry_acs_m,ghana_me,B04006,76,TRUE,FALSE
b04006_reported_ancestry_acs_m,kenya,B04006,77,FALSE,FALSE
b04006_reported_ancestry_acs_m,kenya_me,B04006,77,TRUE,FALSE
b04006_reported_ancestry_acs_m,libria,B04006,78,FALSE,FALSE
b04006_reported_ancestry_acs_m,libria_me,B04006,78,TRUE,FALSE
b04006_reported_ancestry_acs_m,nigria,B04006,79,FALSE,FALSE
b04006_reported_ancestry_acs_m,nigria_me,B04006,79,TRUE,FALSE
b04006_reported_ancestry_acs_m,senegl,B04006,80,FALSE,FALSE
b04006_reported_ancestry_acs_m,senegl_me,B04006,80,TRUE,FALSE
b04006_reported_ancestry_acs_m,sra_ln,B04006,81,FALSE,FALSE
b04006_reported_ancestry_acs_m,sra_ln_me,B04006,81,TRUE,FALSE
b04006_reported_ancestry_acs_m,somal,B04006,82,FALSE,FALSE
b04006_reported_ancestry_acs_m,somal_me,B04006,82,TRUE,FALSE
b04006_reported_ancestry_acs_m,s_afr,B04006,83,FALSE,FALSE
b04006_reported_ancestry_acs_m,s_afr_me,B04006,83,TRUE,FALSE
b04006_reported_ancestry_acs_m,sudan,B04006,84,FALSE,FALSE
b04006_reported_ancestry_acs_m,sudan_me,B04006,84,TRUE,FALSE
b04006_reported_ancestry_acs_m,uganda,B04006,85,FALSE,FALSE
b04006_reported_ancestry_acs_m,uganda_me,B04006,85,TRUE,FALSE
b04006_reported_ancestry_acs_m,zimbab,B04006,86,FALSE,FALSE
b04006_reported_ancestry_acs_m,zimbab_me,B04006,86,TRUE,FALSE
b04006_reported_ancestry_acs_m,africa,B04006,87,FALSE,FALSE
b04006_reported_ancestry_acs_m,africa_me,B04006,87,TRUE,FALSE
b04006_reported_ancestry_acs_m,o_subs,B04006,88,FALSE,FALSE
b04006_reported_ancestry_acs_m,o_subs_me,B04006,88,TRUE,FALSE
b04006_reported_ancestry_acs_m,swed,B04006,89,FALSE,FALSE
b04006_reported_ancestry_acs_m,swed_me,B04006,89,TRUE,FALSE
b04006_reported_ancestry_acs_m,swiss,B04006,90,FALSE,FALSE
b04006_reported_ancestry_acs_m,swiss_me,B04006,90,TRUE,FALSE
b04006_reported_ancestry_acs_m,turksh,B04006,91,FALSE,FALSE
b04006_reported_ancestry_acs_m,turksh_me,B04006,91,TRUE,FALSE
b04006_reported_ancestry_acs_m,ukrain,B04006,92,FALSE,FALSE
b04006_reported_ancestry_acs_m,ukrain_me,B04006,92,TRUE,FALSE
b04006_reported_ancestry_acs_m,welsh,B04006,93,FALSE,FALSE
b04006_reported_ancestry_acs_m,welsh_me,B04006,93,TRUE,FALSE
b04006_reported_ancestry_acs_m,w_ind,B04006,94,FALSE,FALSE
b04006_reported_ancestry_acs_m,w_ind_me,B04006,94,TRUE,FALSE
b04006_reported_ancestry_acs_m,baham,B04006,95,FALSE,FALSE
b04006_reported_ancestry_acs_m,baham_me,B04006,95,TRUE,FALSE
b04006_reported_ancestry_acs_m,barbad,B04006,96,FALSE,FALSE
b04006_reported_ancestry_acs_m,barbad_me,B04006,96,TRUE,FALSE
b04006_reported_ancestry_acs_m,belize,B04006,97,FALSE,FALSE
b04006_reported_ancestry_acs_m,belize_me,B04006,97,TRUE,FALSE
b04006_reported_ancestry_acs_m,bermud,B04006,98,FALSE,FALSE
b04006_reported_ancestry_acs_m,bermud_me,B04006,98,TRUE,FALSE
b04006_reported_ancestry_acs_m,brt_wi,B04006,99,FALSE,FALSE
b04006_reported_ancestry_acs_m,brt_wi_me,B04006,99,TRUE,FALSE
b04006_reported_ancestry_acs_m,dch_wi,B04006,100,FALSE,FALSE
b04006_reported_ancestry_acs_m,dch_wi_me,B04006,100,TRUE,FALSE
b04006_reported_ancestry_acs_m,haiti,B04006,101,FALSE,FALSE
b04006_reported_ancestry_acs_m,haiti_me,B04006,101,TRUE,FALSE
b04006_reported_ancestry_acs_m,jamac,B04006,102,FALSE,FALSE
b04006_reported_ancestry_acs_m,jamac_me,B04006,102,TRUE,FALSE
b04006_reported_ancestry_acs_m,trntbg,B04006,103,FALSE,FALSE
